,City_Name,Country_Code,Latitude,Longititude,Temprature,Humidity,cloudiness,wind_speed
87,tessalit,ml,22.315007364685215,3.8245914992187124,78.24,17,0,6.04
88,sao filipe,cv,11.574570332683848,-28.177169356105594,80.46,73,29,7.07
89,moroto,ug,2.5114970846358915,34.23642250279346,74.48,54,72,4.23
90,mackay,au,-18.499156454462067,153.3210675133887,86.0,45,11,13.87
91,arman,ru,55.713489623641266,148.03087670385509,32.95,87,92,7.52
92,san patricio,mx,-0.9542125653128721,-116.6759722952853,80.11,88,63,4.0
93,suhbaatar,mn,48.931828234795006,105.87695455009919,44.89,54,0,8.61
94,svetlyy,ru,48.74715977103722,62.14455697989317,52.43,81,67,11.18
95,salalah,om,17.01500713169449,53.54286344487832,86.0,70,20,4.7
96,dikson,ru,86.81906834282731,83.47853689650202,26.1,97,99,9.4
97,perevoz,ru,55.50648670144625,44.63655019416149,34.48,87,3,5.44
98,pisco,pe,-26.604791716341637,-95.16154704392004,62.33,82,30,9.17
99,havre-saint-pierre,ca,54.82465593127995,-62.26427976620907,37.4,100,90,11.41
100,wanning,cn,15.723735908906079,114.02269117764405,79.11,64,67,15.68
101,boa vista,br,4.362969549257556,-62.661745538714044,80.6,69,13,3.36
102,ogbomosho,ng,8.356756830827692,4.311046402447261,73.4,88,24,3.98
103,lodja,cd,-1.9567926018176394,22.800598092591372,74.03,87,45,1.7
104,kaitangata,nz,-75.52282999264301,176.25788941628724,53.01,80,97,4.0
105,khndzoresk,am,39.50907588323321,46.47873780009067,50.32,72,4,2.8
106,yellowknife,ca,86.02831885899673,-98.50821375374184,21.34,92,90,8.05
107,longyan,cn,25.43131407146707,116.8655989427458,75.0,59,98,4.0
108,qaqortoq,gl,66.10001714824287,-44.26194087319567,26.6,68,24,3.36
109,upernavik,gl,79.79075250734942,-58.59160604122415,23.76,96,78,2.89
110,hithadhoo,mv,-4.634875752871565,69.22664765737244,83.21,74,34,13.47
111,bluff,nz,-50.92280432088816,167.81477298923886,61.0,57,98,7.54
112,taoudenni,ml,24.560218229888733,-3.7740395751196445,72.93,21,4,2.01
113,nkhotakota,mw,-12.641448672891642,34.50420657037603,82.4,54,63,10.63
114,biak,id,-0.6684014011920709,138.09024147599388,84.18,64,85,2.68
